trx_id,trx_date,merchant_id,trx_status,total_items,total_revenue,total_revenue_after_discount
3887,2020-01-04,A03CT32,Successful,3,0,0
23981,2020-01-28,A02CT904,Successful,5,0,0
26338,2020-01-31,A02CT215,Successful,2,0,0
27637,2020-02-01,A01CT952,Successful,2,0,0
34038,2020-02-09,A03CT11,Successful,2,0,0
47464,2020-02-27,A01CT799,Successful,3,0,0
47488,2020-02-27,A01CT780,Successful,1,0,0
1360,2020-01-02,A02CT964,Failed,1,1,1
4483,2020-01-04,A01CT952,Failed,1,1,0
5644,2020-01-05,A01CT952,Failed,1,1,1
7889,2020-01-08,A02CT744,Failed,1,1,1
11541,2020-01-12,A01CT158,Failed,1,1,1
17618,2020-01-19,A03CT71,Failed,1,1,1
17621,2020-01-19,A03CT71,Failed,1,1,1
18525,2020-01-21,A01CT182,Successful,2,1,1
22415,2020-01-26,A01CT347,Successful,1,1,1
33815,2020-02-09,A01CT122,Failed,1,1,1
37667,2020-02-14,A01CT900,Successful,1,1,1
38748,2020-02-15,A01CT153,Successful,1,1,1
45113,2020-02-24,A02CT751,Failed,1,1,1
45898,2020-02-25,A01CT290,Successful,8,1,1
4359,2020-01-04,A01CT952,Failed,2,2,2
4373,2020-01-04,A01CT952,Failed,2,2,2
4379,2020-01-04,A01CT952,Failed,2,2,2
4404,2020-01-04,A01CT952,Failed,2,2,2
4407,2020-01-04,A01CT952,Failed,2,2,2
11832,2020-01-12,A01CT15,Failed,1,2,2
24489,2020-01-28,A02CT434,Failed,1,2,2
40408,2020-02-17,A01CT383,Failed,2,2,2
48109,2020-02-28,A02CT720,Failed,1,10,10
48298,2020-02-28,A02CT720,Failed,1,10,10
29062,2020-02-03,A02CT672,Failed,1,15,15
21970,2020-01-25,A02CT458,Failed,1,16,16
21972,2020-01-25,A02CT458,Failed,1,16,16
21974,2020-01-25,A02CT458,Failed,1,16,16
24590,2020-01-29,A02CT458,Failed,1,16,16
2077,2020-01-02,A02CT629,Failed,1,25,25
33905,2020-02-09,A01CT122,Successful,1,25,25
13454,2020-01-14,A01CT220,Failed,1,28,28
115,2020-01-01,A02CT99,Successful,2,30,30
5638,2020-01-05,A01CT222,Failed,2,30,30
33978,2020-02-09,A01CT329,Successful,1,33,33
14524,2020-01-15,A02CT458,Failed,2,34,34
33490,2020-02-08,A03CT32,Successful,5,34,34
42221,2020-02-20,A01CT845,Failed,2,40,40
18395,2020-01-20,A01CT140,Failed,1,100,100
22102,2020-01-26,A01CT755,Successful,6,108,108
